id,name,host_id,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,city
32795571,Cape Town Un-Gentrified: Historical District 6,82652504,-33.93444,18.43175,Entire home/apt,513,1,3,0.13,5,Cape Town
32798670,Seaside cottage. Self-catering. 1 min walk - beach,118711047,-34.13495,18.33512,Entire home/apt,950,1,40,1.26,1,Cape Town
32801528,UniqueStay Paardevlei Square Ground Floor 3 Bed,82026431,-34.09054,18.81003,Entire home/apt,1650,4,4,0.13,13,Cape Town
32802394,Shangri-La,93537536,-33.97701,18.5351,Private room,550,1,0,,1,Cape Town
32803880,Sunny Apartment with Mountain & Sea Views,209847399,-34.05211,18.34109,Entire home/apt,487,2,11,0.46,1,Cape Town
32809662,Family home between two beaches,53890437,-34.13735,18.38567,Entire home/apt,1800,14,0,,1,Cape Town
32812268,Coons Cove,246834628,-33.9336,18.51951,Entire home/apt,600,1,9,0.35,1,Cape Town
32814832,Spectacular Views of Table Mountain!,7808003,-33.93571,18.40085,Entire home/apt,610,7,0,,1,Cape Town
32822343,Relaxing Apt  Close to V&A Waterfront,246925505,-33.90995,18.41354,Entire home/apt,1500,3,9,0.41,1,Cape Town
32824611,"Cosy studio in Gardens , - next to the City Center",246941514,-33.93358,18.41823,Entire home/apt,600,2,1,0.03,1,Cape Town
32826822,"Onyx penthouse Sea, Mountain Views opposite CTICC",102043577,-33.91673,18.42634,Entire home/apt,3695,1,27,0.86,1,Cape Town
32828668,Huge Secure 1 bedroom in the CBD with Pool and Gym,246961391,-33.92548,18.42063,Entire home/apt,1007,2,22,1.04,1,Cape Town
32832237,Family 2 bed-Sea Point-Atlantic Seaboard-Cape Town,54940803,-33.91182,18.39256,Entire home/apt,1000,4,6,0.22,1,Cape Town
32832296,Modern Camps Bay Apartment with sea and sunset,3929808,-33.95487,18.38167,Entire home/apt,3464,4,19,0.62,10,Cape Town
32837576,Luxury studio with beautiful Table Mountain views,49016390,-33.92553,18.44676,Entire home/apt,445,1,71,2.34,1,Cape Town
32839618,Idyllic beach house with uninterrupted sea views,78671890,-34.15143,18.86272,Entire home/apt,1991,2,63,2.52,1,Cape Town
32856868,A Room 2 Stay.,96542629,-33.72058,18.44683,Private room,500,2,3,0.09,1,Cape Town
32858368,Chilled beach stay on Muizenberg’s Surfers corner,38726219,-34.10801,18.4696,Entire home/apt,766,2,33,1.36,1,Cape Town
32865586,Perfect studio to explore Cape Town,225592611,-33.90956,18.39537,Entire home/apt,590,2,25,0.86,1,Cape Town
32868498,Stylish Central Apartment near Table Mountain,8108425,-33.92347,18.41477,Entire home/apt,918,2,54,2.69,34,Cape Town
32878430,Tranquil rural and treed situation,246145095,-33.85065,18.65675,Entire home/apt,2850,10,0,,1,Cape Town
32878744,Design City Centre Apartment (2 Bedrooms),247366251,-33.92381,18.42095,Entire home/apt,1429,4,21,0.68,1,Cape Town
32878968,Value For Money. Gym is inside the building.,242273097,-34.15722,18.86947,Entire home/apt,700,7,12,0.39,2,Cape Town
32880126,Thyme to unwind - Durbanville,247374688,-33.8164,18.6787,Entire home/apt,750,1,8,0.27,1,Cape Town
